github.com/choopm/stdfx,https://github.com/choopm/stdfx/blob/HEAD/LICENSE,Apache-2.0
github.com/creasty/defaults,https://github.com/creasty/defaults/blob/v1.8.0/LICENSE,MIT
github.com/earthboundkid/versioninfo/v2,https://github.com/earthboundkid/versioninfo/blob/v2.24.1/LICENSE,MIT
github.com/fsnotify/fsnotify,https://github.com/fsnotify/fsnotify/blob/v1.8.0/LICENSE,BSD-3-Clause
github.com/go-viper/mapstructure/v2,https://github.com/go-viper/mapstructure/blob/v2.2.1/LICENSE,MIT
github.com/mattn/go-colorable,https://github.com/mattn/go-colorable/blob/v0.1.13/LICENSE,MIT
github.com/mattn/go-isatty,https://github.com/mattn/go-isatty/blob/v0.0.20/LICENSE,MIT
github.com/pelletier/go-toml/v2,https://github.com/pelletier/go-toml/blob/v2.2.3/LICENSE,MIT
github.com/rs/zerolog,https://github.com/rs/zerolog/blob/v1.33.0/LICENSE,MIT
github.com/sagikazarmark/locafero,https://github.com/sagikazarmark/locafero/blob/v0.7.0/LICENSE,MIT
github.com/samber/lo,https://github.com/samber/lo/blob/v1.47.0/LICENSE,MIT
github.com/samber/slog-common,https://github.com/samber/slog-common/blob/v0.18.1/LICENSE,MIT
github.com/samber/slog-zap/v2,https://github.com/samber/slog-zap/blob/v2.6.1/LICENSE,MIT
github.com/samber/slog-zerolog/v2,https://github.com/samber/slog-zerolog/blob/v2.7.2/LICENSE,MIT
github.com/sourcegraph/conc,https://github.com/sourcegraph/conc/blob/v0.3.0/LICENSE,MIT
github.com/spf13/afero,https://github.com/spf13/afero/blob/v1.12.0/LICENSE.txt,Apache-2.0
github.com/spf13/cast,https://github.com/spf13/cast/blob/v1.7.1/LICENSE,MIT
github.com/spf13/cobra,https://github.com/spf13/cobra/blob/v1.8.1/LICENSE.txt,Apache-2.0
github.com/spf13/pflag,https://github.com/spf13/pflag/blob/v1.0.5/LICENSE,BSD-3-Clause
github.com/spf13/viper,https://github.com/spf13/viper/blob/v1.20.0-alpha.6/LICENSE,MIT
github.com/subosito/gotenv,https://github.com/subosito/gotenv/blob/v1.6.0/LICENSE,MIT
github.com/xhit/go-str2duration/v2,https://github.com/xhit/go-str2duration/blob/v2.1.0/LICENSE,BSD-3-Clause
go.uber.org/dig,https://github.com/uber-go/dig/blob/v1.18.0/LICENSE,MIT
go.uber.org/fx,https://github.com/uber-go/fx/blob/v1.23.0/LICENSE,MIT
go.uber.org/multierr,https://github.com/uber-go/multierr/blob/v1.11.0/LICENSE.txt,MIT
go.uber.org/zap,https://github.com/uber-go/zap/blob/v1.27.0/LICENSE,MIT
golang.org/x/sync/errgroup,https://cs.opensource.google/go/x/sync/+/v0.10.0:LICENSE,BSD-3-Clause
golang.org/x/sys/unix,https://cs.opensource.google/go/x/sys/+/v0.29.0:LICENSE,BSD-3-Clause
golang.org/x/text,https://cs.opensource.google/go/x/text/+/v0.21.0:LICENSE,BSD-3-Clause
gopkg.in/yaml.v3,https://github.com/go-yaml/yaml/blob/v3.0.1/LICENSE,MIT
sigs.k8s.io/yaml,https://github.com/kubernetes-sigs/yaml/blob/v1.4.0/LICENSE,Apache-2.0
sigs.k8s.io/yaml/goyaml.v2,https://github.com/kubernetes-sigs/yaml/blob/v1.4.0/goyaml.v2/LICENSE,Apache-2.0
